"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"abiraterone DB05812 human GSE49244 sample 3300","10/380",0.000604289584117048,0.209084196104499,0,0,3.76061776061776,27.8716569429226,"PIWIL1;LIN28B;SALL4;GAGE2E;SLCO1B3;IGF2BP1;MAGEC1;MAGEC2;CT45A1;DSCR8"
"trichostatin A 444732 mouse GSE1437 sample 3085","2/43",0.0412951772130808,0.983904221071494,0,0,6.52900461437047,20.8080001254733,"LEFTY1;HOXA11"
"MLN4924 73014187 human GSE30531 sample 2643","5/276",0.0571961728929546,0.983904221071494,0,0,2.49128387835602,7.12823156327724,"LINC01419;MAGEA1;MAGEA6;MAGEA3;CT45A1"
"NSC319726 5351307 human GSE35972 sample 2479","5/291",0.0684664955275308,0.983904221071494,0,0,2.35881360019291,6.3249481914061,"HOTAIR;LIN28B;EPYC;HTR2C;HOXC9"
"PLX4720 24180719 human GSE34299 sample 3243","5/296",0.0724789067878848,0.983904221071494,0,0,2.3176916696291,6.08268838468525,"HOTAIR;FGF19;LINC01234;MAGEA6;MAGEA3"
"anastrozole DB01217 human GSE33658 sample 3087","6/433",0.107861458372216,0.983904221071494,0,0,1.89529664324746,4.22065062834412,"EPYC;COL11A1;MMP3;COL10A1;WNT2;MAGEA3"
"Cholestyramine DB01432 human GSE11223 sample 3294","4/252",0.121671329491332,0.983904221071494,0,0,2.16548828988069,4.56145359169363,"LIN28B;IGF2BP1;MAGEA4;TCAM1P"
"deferasirox DB01609 human GSE11670 sample 2571","5/384",0.162538692044753,0.983904221071494,0,0,1.77154035119643,3.2186039556118,"LIN28B;MAGEA12;ZNF280A;MAGEA6;MAGEA3"
"cadmium CID 23973 human GSE20320 sample 2550","4/301",0.190354677513423,0.983904221071494,0,0,1.80369909137032,2.99209549954544,"CLDN6;GAGE2E;MMP3;MMP8"
"ARSENIC 5359596 human GSE6907 sample 3529","3/206",0.201476573581206,0.983904221071494,0,0,1.97516839248014,3.16438205347072,"IGFBP1;APOA2;C4BPA"
"cisplatin DB00515 human GSE47856 sample 3154","3/206",0.201476573581206,0.983904221071494,0,0,1.97516839248014,3.16438205347072,"LEFTY1;LHX1;WNT2"
"cisplatin DB00515 human GSE47856 sample 3153","4/311",0.205676938972662,0.983904221071494,0,0,1.74405425906921,2.75813216390421,"LIN28B;GAGE2E;PRAME;HOXA11"
"cisplatin DB00515 human GSE47856 sample 3151","4/333",0.240555871053039,0.983904221071494,0,0,1.62559853437149,2.31615751307268,"LIN28B;CST1;SALL4;HOXA11"
"metformin DB00331 human GSE33612 sample 2483","4/343",0.256849780537135,0.983904221071494,0,0,1.57683759647634,2.14333838401162,"CST1;RDH8;MMP8;CST4"
"vitamin c DB00126 mouse GSE19379 sample 3512","3/255",0.299394425872142,0.983904221071494,0,0,1.58713961775186,1.91407994329823,"COL11A1;MMP3;EVX1"
"deferasirox DB01609 human GSE11670 sample 2572","4/374",0.308573564097507,0.983904221071494,0,0,1.44242873009996,1.69600049836757,"LIN28B;MAGEA12;MAGEA6;MAGEA3"
"ANGIOTENSIN II 172198 mouse GSE17901 sample 3679","3/262",0.313732913876759,0.983904221071494,0,0,1.54369238042707,1.78946865789172,"IGFBP1;APOA2;MMP8"
